b
bl
br
d
db
dm
dn
dr
drg
dzb
f
fl
fr
ft
g
gd
gl
gm
gn
gr
gz
j
k
kl
kn
kr
krt
ks
kt
l
lgn
ln
m
mgl
mkn
ml
mn
mr
n
p
pl
pn
pr
ps
pstr
pt
r
rdz
rt
s
sf
sk
skl
skr
sl
sm
smr
sn
sp
spl
spr
sr
ss
st
str
t
tk
tl
tr
z
zb
zbl
zbr
zd
zdj
zdr
zg
zgl
zgr
zj
zl
zm
zmr
zn
zr
