b
bl
br
brv
bw
d
db
dm
dn
dr
drg
drv
drʒ
dv
dw
dzb
dzv
dɲ
dʑ
dʑv
dʒ
f
fl
fr
ft
g
gd
gl
gm
gn
gr
gv
gw
gz
gɲ
gʒ
j
k
kl
kn
kr
krt
krv
ks
kt
kv
kw
kɲ
kʃ
kʃt
l
lgn
lgɲ
ln
lv
lɕɲ
lɲ
lʒ
m
mgl
mgw
mkn
mkɲ
ml
mn
mr
mw
mx
mɟ
mɲ
mʃ
mʒ
n
p
pl
pn
pr
ps
pstr
pt
pw
px
pxl
pxw
pɲ
pʃ
r
rdz
rt
rʒ
s
sf
sk
skl
skr
skw
sl
sm
smr
sn
sp
spl
spr
sr
ss
st
str
stv
stw
sv
sw
sx
sxl
sxn
sxr
sxɲ
t
tk
tl
tr
trv
tv
tw
tx
v
vd
vj
vk
vkr
vn
vp
vpw
vr
vsk
vsp
vst
vstr
vsx
vt
vw
vz
vzg
vzr
vzv
vɲ
vʃ
vʒ
w
wg
wz
x
xl
xm
xr
xv
xw
z
zb
zbl
zbr
zd
zdj
zdr
zdʑ
zg
zgl
zgr
zgɲ
zgʒ
zj
zl
zm
zmr
zn
zr
zv
zvr
zvw
zw
zɲ
zʃ
zʒ
ɕ
ɕl
ɕm
ɕp
ɕr
ɕv
ɕɲ
ɟ
ɲ
ʃ
ʃk
ʃkl
ʃkv
ʃkw
ʃl
ʃm
ʃn
ʃp
ʃpr
ʃr
ʃt
ʃv
ʑdʑbl
ʑdʑbw
ʑl
ʑr
ʒ
ʒb
ʒm
ʒv
ʒw
ʒɲ
