tɲ,1.0
bʒ,0.75
fj,0.75
jj,0.125
ʒ[tʃ],0.5
tp,1.0
vʑ,0.5
tʃ,0.75
ʒn,1.0
fx,0.75
rj,0.25
tm,1.0
dʒ,1.0
kj,0.25
k[ts],1.0
pʒ,0.5
fs,0.75
tn,1.0
[ts]ʑ,0.0
ʒt,0.5
bj,0.75
tj,0.75
xf,0.5
ts,0.4
kɕ,0.5
xt,0.25
xʒ,0.5625
ʃ[ts],1.0
pɕ,0.5
gʑ,0.5
ʒ[ts],0.375
sɕ,0.75
tʒ,0.4375
kf,0.75
fp,0.25
ɕf,0.5
[ts]x,0.25
vɕ,0.5
tɕ,0.125
xj,0.75
xʃ,0.75
ʃf,0.75
lj,0.5
fʃ,0.75
fk,0.75
fɕ,0.0
wʑ,0.5
sʃ,1.0
wb,1.0
kʒ,0.5
