stv,0,-0.5,0,0.5,0,
pstr,0,0.5,0,-0.5,1.0,0,1.5,0,
wg,0,0,
gʒm,0,0.5,0,1.5,0,
fp,0,0,
ft,0,0,
mn,0,0,
gw,0,0,
ʑdʑb,0,0,0.5,0,0,
wʒ,0,0,
zj,0,0,
dʑ,0,0,
zdʑ,0,-0.5,0,0.5,0,
ʒn,0,0,
zʃ,0,0,
[ts]l,0,0,
bj,0,0,
dm,0,0,
ɕɲ,0,0,
zvw,0,1.0,0,2.5,0,
stw,0,-0.5,0,2.0,0,
ʃm,0,0,
gʒ,0,0,
w,0,
tr,0,0,
lj,0,0,
rdz,0,0,0,
sr,0,0,
vstr,0,0.5,0,-0.5,1.0,0,1.5,0,
spʒ,0,-0.5,0,0.5,0,
fr,0,0,
mkɲ,0,0,1.0,0,
pl,0,0,
vsx,0,0,1.0,0,
xv,0,0,
ʒv,0,0,
zn,0,0,
tk,0,0,
gd,0,0,
kʃt,0,0.5,0,-0.5,0,
gʒb,0,0.5,0,-0.5,0,
pʃ,0,0,
wʑ,0,0,
pt,0,0,
dɲ,0,0,
ɕr,0,0,
bl,0,0,
xʒ[tʃ],0,1.0,0,0,
d,0,
lɲ,0,0,
t,0,
pʃ[tʃ],0,0.5,0,-0.75,0,
mʃ,0,0,
ʃv,0,0,
ʃkw,0,-0.5,0,2.0,0,
vz,0,0,
vg,0,0,
ɲ,0,
ʃl,0,0,
fʃ,0,0,
xʒt,0,1.0,0,0,
gr,0,0,
mw,0,0,
xw,0,0,
ɕp,0,0,
ɕf,0,0,
pʒ,0,0,
mɲ,0,0,
ktɕ,0,0.0,0,0,
zgl,0,-0.5,0,1.5,0,
zvr,0,1.0,0,2.0,0,
zgj,0,-0.5,0,0,
sv,0,0,
g,0,
pw[ts],0,2.0,0,0,
sɕ,0,0,
sx,0,0,
sl,0,0,
ʑl,0,0,
bz,0,0,
mj,0,0,
stɕ,0,-0.5,0,0,
vst,0,0,-0.5,0,
ml,0,0,
skw,0,-0.5,0,2.0,0,
zdj,0,-0.5,0,2.0,0,
kjj,0,0,0,
rt,0,0,
vɕ,0,0,
fj,0,0,
s[ts],0,0,
sw,0,0,
sn,0,0,
ʃpr,0,-0.5,0,1.5,0,
mɟ,0,0,
kw,0,0,
dzv,0,0,1.0,0,
xts,0,0,0,
zg,0,0,
ɕl,0,0,
drʒ,0,1.5,0,-2.0,0,
gjj,0,0,0,
lgɲ,0,0,1.0,0,
px,0,0,
sp,0,0,
pɕ,0,0,
zdr,0,-0.5,0,1.5,0,
drg,0,1.5,0,0,
zd,0,0,
r,0,
xʃ,0,0,
gm,0,0,
mgl,0,0,1.5,0,
dzb,0,0,-0.5,0,
tx,0,0,
sf,0,0,
xj,0,0,
ʃp,0,0,
tl,0,0,
f,0,
rj,0,0,
[ts],0,
ʃ[ts],0,0,
vzr,0,1.0,0,2.0,0,
pxl,0,0.5,0,2.0,0,
ʃr,0,0,
pxw,0,0.5,0,2.5,0,
tʒ[ts],0,0.5,0,0,
db,0,0,
zgr,0,-0.5,0,1.5,0,
xr,0,0,
sm,0,0,
dj,0,0,
kn,0,0,
tʒ,0,0,
vn,0,0,
lv,0,0,
b,0,
vstʒ,0,0.5,0,-0.5,0.0,0,0.5,0,
gdʑ,0,0.0,0,0.5,0,
kɲ,0,0,
vkr,0,-0.5,0,1.5,0,
spl,0,-0.5,0,1.5,0,
[tʃ],0,
mgw,0,0,2.0,0,
bw,0,0,
ʃ,0,
wz,0,0,
brv,0,1.5,0,-2.0,0,
tsn,0,0,1.5,0,
lgn,0,0,1.0,0,
tp,0,0,
tɲ,0,0,
ʃkl,0,-0.5,0,1.5,0,
ftʃ,0,-0.5,0,0.5,0,
ʃw,0,0,
spr,0,-0.5,0,1.5,0,
k,0,
x,0,
fɕ,0,0,
ʒɲ,0,0,
[ts]x,0,0,
gz,0,0,
[ts]w,0,0,
pj,0,0,
kf,0,0,
[tʃ]k,0,0,
gl,0,0,
pɲ,0,0,
gv,0,0,
vsk,0,0,-0.5,0,
rʒ,0,0,
mx,0,0,
skʒ,0,-0.5,0,0.5,0,
fl,0,0,
v[tʃ],0,0,
zr,0,0,
zl,0,0,
[tʃ][tʃ],0,0,
mkn,0,0,1.0,0,
vɲ,0,0,
skr,0,-0.5,0,1.5,0,
zbl,0,-0.5,0,1.5,0,
vl,0,0,
zʒ,0,0,
fx,0,0,
xʒ[ts],0,1.0,0,0,
st,0,0,
mʒ,0,0,
ɕv,0,0,
vzg,0,1.0,0,-0.5,0,
stʃ,0,-0.5,0,0.5,0,
vʑ,0,0,
vpw,0,-0.5,0,2.0,0,
vʒ,0,0,
tn,0,0,
ɕm,0,0,
gɲ,0,0,
[ts]ʑ,0,0,
z,0,
krt,0,1.5,0,-1.5,0,
kɕ,0,0,
krv,0,1.5,0,-2.0,0,
vp,0,0,
ʑ,0,
kt,0,0,
tv,0,0,
xl,0,0,
pw,0,0,
ʒ,0,
fs,0,0,
vdʑ,0,-0.5,0,0.5,0,
kʃ,0,0,
ʑdʑbl,0,0.5,0,0.5,0,0,1.5,0,
tm,0,0,
sxɲ,0,1.0,0,0,
sxr,0,1.0,0,2.0,0,
smr,0,1.5,0,2.5,0,
sxl,0,1.0,0,2.0,0,
sʃ,0,0,
vj,0,0,
ʒm,0,0,
jm,0,0,
ʃpʒ,0,-0.5,0,0.5,0,
bʑ,0,0,
vd,0,0,
trv,0,1.5,0,-2.0,0,
ʃk,0,0,
km,0,0,
tʃk,0,0.5,0,-0.5,0,
